ST_PUMA,ST_CO_PUMA
0611107,0611100
0611108,0611100
0611109,0611100
0611301,0611300
0611302,0611300
0800100,0800100
0800200,0800200
0800301,0800300
0800302,0800300
0800303,0800300
0800401,0800490
0800501,0800490
0800502,0800490
0800601,0800490
0800701,0800490
0800702,0800490
0800703,0800490
0800801,0800490
0800901,0800490
0800902,0800490
0801101,0800490
0801201,0800490
0801202,0800490
0801301,0800490
0801401,0800490
0801501,0800490
0801601,0800490
0801602,0800490
0801603,0800490
0801701,0800490
0801702,0800490
0801703,0800490
0801704,0800490
0801705,0800490
0801001,0801000
0801002,0801000
0801003,0801000
0801800,0801800
0801900,0801900
0802001,0802007
0802002,0802007
0802003,0802007
0802004,0802007
0802005,0802007
0802006,0802007
0802101,0802190
0802301,0802190
0802200,0802200
0802401,0802490
0802501,0802490
0920100,0920100
0920201,0920290
0920202,0920290
0920203,0920290
0920204,0920290
0920205,0920290
0920206,0920290
0920207,0920290
0920301,0920290
0920401,0920490
0920402,0920490
0920500,0920490
0920601,0920690
0920602,0920690
0920603,0920690
0920604,0920690
0920701,0920690
0920702,0920690
0920703,0920690
0920801,0920890
0920802,0920890
0920901,0920890
0920902,0920890
0920903,0920890
0920904,0920890
1000101,1000100
1000102,1000100
1000103,1000100
1000104,1000100
1000105,1000100
1000200,1000200
1000301,1000300
1000302,1000300
1100101,1100100
1100102,1100100
1100103,1100100
1100104,1100100
1100105,1100100
1100106,1100100
1200101,1200100
1200102,1200100
1200398,1200398
1200500,1200500
1200798,1200798
1200901,1200900
1200902,1200900
1200903,1200900
1200904,1200900
1200905,1200900
1201101,1201100
1201102,1201100
1201103,1201100
1201104,1201100
1201105,1201100
1201106,1201100
1201107,1201100
1201108,1201100
1201109,1201100
1201110,1201100
1201111,1201100
1201112,1201100
1201113,1201100
1201114,1201100
1201115,1201100
1201116,1201100
1201117,1201100
1201398,1201398
1201500,1201500
1201700,1201700
1201901,1201900
1201902,1201900
1202101,1202100
1202102,1202100
1202103,1202100
1202799,1202790
1205199,1202790
1203101,1203100
1203102,1203100
1203103,1203100
1203104,1203100
1203105,1203100
1203106,1203100
1203107,1203100
1203301,1203300
1203302,1203300
1203303,1203300
1203500,1203500
1204798,1204798
1205300,1205300
1205701,1205700
1205702,1205700
1205703,1205700
1205704,1205700
1205705,1205700
1205706,1205700
1205707,1205700
1205708,1205700
1205709,1205700
1205710,1205700
1205711,1205700
1205998,1205998
1206100,1206100
1206901,1206900
1206902,1206900
1206903,1206900
1207101,1207100
1207102,1207100
1207103,1207100
1207104,1207100
1207105,1207100
1207106,1207100
1207301,1207300
