ST_COUNTY,ST_CO_PUMA
1300019,1300700
1300021,1301400
1300023,1301300
1300025,1300500
1300027,1300700
1300029,1300200
1300031,1300300
1300033,1304200
1300035,1301900
1300037,1301100
1300039,1300100
1300043,1301300
1300045,1302300
1300047,1302600
1300049,1300500
1300051,1300400
1300053,1301700
1300055,1302600
1300057,1303100
1300059,1303600
1300061,1301800
1300063,1305000
1300065,1300500
1300067,1303000
1300069,1300500
1300071,1300800
1300073,1304100
1300075,1300700
1300077,1302100
1300079,1301600
1300081,1301800
1300083,1302600
1300085,1303200
1300087,1301100
1300089,1301090
1300091,1301300
1300093,1301800
1300095,1300900
1300097,1304400
1300099,1301100
1300101,1300500
1300103,1300300
1300105,1303700
1300107,1301300
1300109,1301200
1300111,1302800
1300113,1302400
1300115,1302500
1300117,1303300
1300119,1303500
1300121,1301090
1300123,1302800
1300125,1304200
1300127,1300100
1300129,1302800
1300131,1301100
1300133,1303700
1300135,1304007
1300137,1303500
1300139,1303400
1300141,1304200
1300143,1302500
1300145,1301800
1300147,1303500
1300149,1302200
1300151,1306000
1300153,1301500
1300155,1300700
1300157,1303800
1300159,1303900
1300161,1301200
1300163,1304200
1300165,1304200
1300167,1301300
1300169,1301600
1300171,1301900
1300173,1300500
1300175,1301300
1300177,1300900
1300179,1300200
1300181,1304200
1300183,1300200
1300185,1300600
1300187,1303200
1300189,1304200
1300191,1300100
1300193,1301800
1300195,1303700
1300197,1301800
1300199,1302200
1300201,1301100
1300205,1301100
1300207,1301600
1300209,1301200
1300211,1303900
1300213,1302800
1300215,1301700
1300217,1304300
1300219,1303700
1300221,1303700
1300223,1304500
1300225,1301600
1300227,1302800
1300229,1300500
1300231,1301900
1300233,1302500
1300235,1301500
1300237,1301600
1300239,1301800
1300241,1303200
1300243,1301800
1300245,1304000
1300247,1304300
1300249,1301800
1300251,1300300
1300253,1301100
1300255,1301900
1300257,1303500
1300259,1301800
1300261,1301800
1300263,1301800
1300265,1304200
1300267,1301200
1300269,1301800
1300271,1301200
1300273,1301100
1300275,1300800
1300277,1300700
1300279,1301200
1300281,1303200
1300283,1301300
1300285,1302200
1300287,1300700
1300289,1301600
1300291,1303200
1300293,1301900
1300295,1302600
1300297,1303900
1300299,1300500
1300301,1304200
1300303,1304200
1300305,1301200
1300307,1301800
1300309,1301200
1300311,1303200
1300313,1302700
1300315,1301300
1300317,1304200
1300319,1301600
1300321,1300800
1500001,1500200
1500003,1500300
1500005,1500100
1500007,1500100
1500009,1500100
1600001,1600490
1600003,1600300
1600005,1601190
1600007,1601190
1600009,1600190
1600011,1601190
1600013,1601000
1600015,1600300
1600017,1600190
1600019,1601200
1600021,1600190
1600023,1600300
1600025,1601000
1600027,1600490
1600029,1601190
1600031,1600900
1600033,1600300
1600035,1600300
1600037,1600300
1600039,1601000
1600041,1601190
1600043,1601190
1600045,1600490
1600047,1601000
1600049,1600300
1600051,1601190
1600053,1601000
1600055,1600190
1600057,1600190
1600059,1600300
1600061,1600300
1600063,1601000
1600065,1601190
1600067,1601000
1600069,1600300
1600071,1601190
1600073,1600490
1600075,1600490
1600077,1601190
1600079,1600190
1600081,1601190
1600083,1600900
1600085,1600300
1600087,1600490
1700001,1700300
1700003,1700800
1700005,1700501
1700007,1702890
1700009,1700300
1700011,1702501
1700013,1700401
1700015,1700104
1700017,1700401
1700019,1702100
1700021,1701602
1700023,1700700
1700025,1700700
1700027,1700501
1700029,1700600
1700031,1703400
1700033,1700700
1700035,1700600
1700037,1702601
1700039,1701602
1700041,1700600
1700043,1703200
1700045,1700600
1700047,1700800
1700049,1700501
1700051,1700501
1700053,1702200
1700055,1700900
1700057,1700202
1700059,1700800
1700061,1700401
1700063,1703700
1700065,1700800
1700067,1700202
1700069,1700800
1700071,1700202
1700073,1700202
1700075,1702200
1700077,1700900
1700079,1700700
1700081,1701001
1700083,1700401
1700085,1700104
1700087,1700800
1700089,1703000
1700091,1702300
1700093,1703700
1700095,1702501
1700097,1703300
1700099,1702400
1700101,1700700
1700103,1700104
1700105,1702200
1700107,1701602
1700109,1700202
1700111,1703600
1700113,1702000
1700115,1701500
1700117,1700401
1700119,1701200
1700121,1701001
1700123,1702501
1700125,1700300
1700127,1700800
1700129,1701602
