ST_COUNTY,ST_CO_PUMA
0100001,0101700
0100003,0102700
0100005,0102500
0100007,0101100
0100009,0100900
0100011,0102000
0100013,0102500
0100015,0100800
0100017,0102000
0100019,0100700
0100021,0101503
0100023,0102600
0100025,0102600
0100027,0101600
0100029,0101600
0100031,0102400
0100033,0100100
0100035,0102600
0100037,0102000
0100039,0102500
0100041,0102500
0100043,0101000
0100045,0102400
0100047,0101700
0100049,0100600
0100051,0101890
0100053,0102600
0100055,0100700
0100057,0101100
0100059,0100100
0100061,0102300
0100063,0101100
0100065,0101100
0100067,0102300
0100069,0102300
0100071,0100600
0100073,0101390
0100075,0101100
0100077,0100100
0100079,0100300
0100081,0102190
0100083,0100200
0100085,0101700
0100087,0102000
0100089,0100490
0100091,0101100
0100093,0101000
0100095,0100490
0100097,0102800
0100099,0102600
0100101,0101890
0100103,0100300
0100105,0101700
0100107,0101100
0100109,0102500
0100111,0101600
0100113,0102190
0100115,0100900
0100117,0101503
0100119,0101100
0100121,0101600
0100123,0102000
0100125,0101200
0100127,0101390
0100129,0102600
0100131,0102600
0100133,0101000
0200013,0200400
0200016,0200400
0200020,0200100
0200050,0200400
0200060,0200400
0200063,0200300
0200066,0200300
0200068,0200300
0200070,0200400
0200090,0200300
0200100,0200300
0200105,0200400
0200110,0200300
0200122,0200200
0200130,0200300
0200150,0200400
0200158,0200400
0200164,0200400
0200170,0200200
0200180,0200400
0200185,0200400
0200188,0200400
0200195,0200400
0200198,0200400
0200220,0200400
0200230,0200300
0200240,0200300
0200275,0200400
0200282,0200400
0200290,0200400
0400001,0401000
0400003,0400900
0400005,0400500
0400007,0400400
0400009,0400400
0400011,0400400
0400012,0400790
0400013,0400100
0400015,0400600
0400017,0401000
0400019,0400890
0400021,0400890
0400023,0400900
0400025,0402500
0400027,0400790
0500001,0501600
0500003,0501600
0500005,0500300
0500007,0500100
0500009,0500300
0500011,0501600
0500013,0501700
0500015,0500300
0500017,0501600
0500019,0501300
0500021,0500500
0500023,0500400
0500025,0501600
0500027,0501700
0500029,0501000
0500031,0500700
0500033,0501100
0500035,0500600
0500037,0500600
0500039,0501700
0500041,0501600
0500043,0501600
0500045,0500900
0500047,0501100
0500049,0500400
0500051,0501300
0500053,0501400
0500055,0500500
0500057,0501700
0500059,0501300
0500061,0501200
0500063,0500400
0500065,0500400
0500067,0500800
0500069,0501600
0500071,0501000
0500073,0501700
0500075,0500500
0500077,0500600
0500079,0501600
0500081,0501200
0500083,0501200
0500085,0500900
0500087,0500300
0500089,0500300
0500091,0501200
0500093,0500600
0500095,0500800
0500097,0501300
0500099,0501700
0500101,0500300
0500103,0501700
0500105,0501400
0500107,0500600
0500109,0501300
0500111,0500700
0500113,0501200
0500115,0501000
0500117,0500800
0500119,0501500
0500121,0500500
0500123,0500600
0500125,0501400
0500127,0501200
0500129,0500300
0500131,0501100
0500133,0501200
0500135,0500500
0500137,0500400
0500139,0501700
0500141,0500400
0500143,0500200
0500145,0500800
0500147,0500800
0500149,0501000
0600001,0600100
0600003,0600300
0600005,0600300
0600007,0600700
0600009,0600300
0600011,0601100
0600013,0601300
0600015,0601500
0600017,0601700
0600019,0601900
0600021,0601100
0600023,0602300
0600025,0602500
0600027,0600300
0600029,0602900
0600031,0603100
0600033,0603300
0600035,0601500
0600037,0603700
0600039,0603900
0600041,0604100
0600043,0600300
0600045,0603300
0600047,0604700
0600049,0601500
0600051,0600300
0600053,0605304
0600055,0605500
0600057,0605700
0600059,0605900
0600061,0606100
0600063,0601500
0600065,0606500
0600067,0606700
0600069,0605304
0600071,0607100
0600073,0607300
0600075,0607500
0600077,0607700
0600079,0607900
0600081,0608100
0600083,0608300
0600085,0608500
0600087,0608700
0600089,0608900
0600091,0605700
0600093,0601500
0600095,0609500
0600097,0609700
0600099,0609900
0600101,0610100
0600103,0601100
0600105,0601100
0600107,0610700
0600109,0600300
0600111,0611100
0600113,0611300
0600115,0610100
0800001,0800490
0800003,0801900
0800005,0800490
0800007,0802200
0800009,0801900
0800011,0801900
0800013,0800490
0800014,0800490
0800015,0802190
0800017,0801800
0800019,0800490
0800021,0801900
0800023,0801900
0800025,0801800
0800027,0802190
0800029,0802490
0800031,0800490
0800033,0802200
0800035,0800490
0800037,0800200
0800039,0801800
0800041,0802007
0800043,0802190
0800045,0800100
0800047,0800490
0800049,0800200
0800051,0802200
0800053,0802200
0800055,0802190
0800057,0800200
0800059,0800490
0800061,0801800
0800063,0801800
0800065,0802190
0800067,0802200
0800069,0800300
0800071,0801900
0800073,0801800
0800075,0801800
0800077,0802490
0800079,0801900
0800081,0800100
0800083,0802200
0800085,0802490
0800087,0801800
0800089,0801900
0800091,0802490
0800093,0802190
0800095,0801800
0800097,0800200
0800099,0801900
0800101,0802190
0800103,0800100
0800105,0801900
0800107,0800100
0800109,0801900
0800111,0802200
0800113,0802490
0800115,0801800
0800117,0800200
0800119,0802007
0800121,0801800
0800123,0801000
0800125,0801800
